Identifier	StudyName	Species	CancerType	TissueType	UberonOntologyID	malingnant.vs.non-malignant	immune.vs.non-immune	CellType	CellName	CellType2	GeneSymbol	GeneCount	PMID	Year	ResourceType	DB source
Bindea.2013.CRC:Cancer cell:Gamma_delta_T_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	Gamma_delta_T_cell	Gamma delta T cell	"TRD, TARP, C1orf61, TRGV9, CD160, TARP, FEZ1"	7	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:T_helper1_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	T_helper1_cell	T helper 1 (Th1) cell	"IFNG, LTA, APBB2, DOK5, IL12RB2, APBB2, APOD, ZBTB32, CD38, CSF2, CTLA4, CD70, DPP4, EGFL6, BST2, DUSP5, LRP8, IL22, DGKI, CCL4, DPP4, GGT1, LRRN3, SYNGR3, ATP9A, BTG3, CMAH, HBEGF, SGCB"	29	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:T_helper2_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	T_helper2_cell	T helper2 (Th2) cell	"PMCH, AHI1, PTGIS, AHI1, CXCR6, EVI5, AHI1, IL26, MB, NEIL3, GSTA4, PHEX, SMAD2, CENPF, ANK1, ADCY1, AI582773, LAIR2, SNRPD1, CXCR6, MICAL2, DHFR, SMAD2, WDHD1, BIRC5, DHFR, SLC39A14, HELLS, LIMA1, CDC25C, CDC7, GATA3"	32	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:T_helper17_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	T_helper17_cell	T helper17 (Th17) cell	"IL17A, IL17A, IL17RA, RORC"	4	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Regulatory_T_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	T cell subtype	Regulatory_T_cell	Regulatory T (Treg) cell	FOXP3	1	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Immature_dendritic_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Dendritic cell subtype	Immature_dendritic_cell	Immature dendritic cell (iDC)	"CD1B, VASH1, F13A1, CD1E, MMP12, FABP4, CLEC10A, SYT17, MS4A6A, CTNS, GUCA1A, CARD9, CD1E, ABCG2, CD1A, PPARG, RAP1GAP, SLC7A8, GSTT1, NM_021941, FZD2, CSF1R, HS3ST2, CH25H, LMAN2L, SLC26A6, BLVRB, NUDT9, PREP, TM7SF4, TACSTD2, CD1C"	32	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Activated_dendritic_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Dendritic cell subtype	Activated_dendritic_cell	Activated dendritic cell (aDC)	"CCL1, EBI3, INDO, LAMP3, OAS3"	5	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Plasmacytoid_dendritic_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Dendritic cell subtype	Plasmacytoid_dendritic_cell	Plasmacytoid dendritic cell	IL3RA	1	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Natural_killer_CD56bright_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Natural killer subtype	Natural_killer_CD56bright_cell	Natural killer CD56bright cell	"DUSP4, RRAD, XCL1, PLA2G6, PLA2G6, NIBP, FOXJ1, DUSP4, PLA2G6, MADD, BG255923, MPPED1, MUC3B"	13	24138885	2013	Bulk	scTyper sigDB
Bindea.2013.CRC:Cancer cell:Natural_killer_CD56dim_cell	Bindea.2013.CRC	Human	Colorectal Cancer (CRC)	Colon	UBERON_0001155	Cancer cell	Immune	Natural killer subtype	Natural_killer_CD56dim_cell	Natural killer CD56dim cell	"KIR3DL2, KIR3DL2, SPON2, KIR2DL3, GZMB, KIR3DS1, KIR3DL1, FLJ20699, TMEPAI, KIR3DL2, IL21R, KIR3DL2, KIR3DL3, KIR2DS5, KIR2DS2, GTF3C1, KIR2DS1, EDG8"	18	24138885	2013	Bulk	scTyper sigDB
Chiang.2008.HCC.subtype:Cancer cell:CTNNB1_class_up	Chiang.2008.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	CTNNB1_class_up	Top 200 for up-regulated CTNNB1 class (among the tumors)	"AMACR, C6orf97, CGI-116, FLJ14213, GLUL, PANX1, ZNRF3, rotiri, FLJ11151, FRMD3, C20orf142.2, SLC1A2, MERTK, CTNNBL1, DNCI1, SLC5A6, TNFRSF19, C20orf155, NKD1.shed1, NKD1, ALDH3A1, LGR5, CDC14B, RHBG, FLJ25530, TBX3, SLC22A11, SPARCL1, EPHB2, AXIN2, HSDL2, CDK6, NEK3, SLC13A3, INSIG2, REG3A, PHYHIPL, ASPSCR1, CYP1A1, TTC9, MGC16169, TRIB2, FAM8A1, ITPR2.2, PRG-3, FLJ13946, BMP4, shorgor, PREB, HABP4, GPHN.1, NUDT6, SLC4A4, STRA13, SLC16A11, MME, CLDN2, NUBPL, PHLPP, KIAA0888, DSG1, HLF, FLJ21963, FIGF, HHAT, feedoy, YPEL1, ABCG2, AQP9, FAM3B, RAB11FIP2, GNAI1, ACSL5, HIBADH, sohera, APIN, sweefloy, SLC22A4, 04-Sep, C9orf5, FLJ10970, C13orf1, CTNNA2, ADH6, C1orf112, AQP6, LOC441027, IRS1, ZNF533, PAGE4, ALDH3A2, ACSL6, misura, ADRB2, skyglorby, SULT1B1, DPP4, SEC14L2, BIK, SMPX, DDEF2, EBPL, BK_channel_a.0, CD36, stersmawby, REG1A, SDPR, CAP2, AOX1, PTPRG, SALL1, glutar, ECM2, FLJ22763, GFRA1, ACTN2, SLC16A1, yomure, sheemaw, TSPAN5, FLJ38335, SLC25A30, ALDH1L1, GRHPR, kloybee, RHOBTB1, BOK, nararo, PDK4.shed2, NAGS, FAM79B, AQP11, DCXR, TMEM64, sleeper, SLAC2-B, SLC16A10, PDK1, CYP3A_, MTHFD1, HRASLS2, FAS, SLC6A12, SNAI2, FLJ10847, MYRIP, ACE2, MAP3K8, cheylorby, SELENBP1, KCNJ8, FLJ39653, THBS4, HSD11B1, ABHD6, KCNK1, CORIN, PDK4, GPAM, GLYAT, DKFZp761P0423, TTPA, GSTM2, FAM35A.shed3, fawseyby, SLC2A12, UBXD3, SLC16A4, AR, SAH, ADRBK2.shed1, SLC17A1, AADAC, ODZ2, SRD5A2, C10orf65, RPIB9, DNAJC12, HTR2B, VLDLR, shorlee, CYP2E1, RBP1, SLCO1B1, peyly, CYP8B1, UST, kloyla, werwey, C1orf53, ABCB11, BAMBI, HIST1H2AE, LOC284739, TMEM7, IRX3, CST1, ESRRG, HPD, FGF13"	200	18701503	2008	Bulk	scTyper sigDB
Chiang.2008.HCC.subtype:Cancer cell:CTNNB1_class_down	Chiang.2008.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	CTNNB1_class_down	Top 200 for dn-regulated CTNNB1 class (among the tumors)	"HAL, FURIN, C20orf59, GLDC, haso, NAV2, SLPI, 06-Sep, dufa.shed1, KIBRA.shed4, ATP2B2, MAP3K5, VNN1, MGLL, LOC388610, AMIGO2, C9orf150, TMEM45A, UGCG, teku, FLJ31978, NCALD, RDH12, LOC91461, C20orf74.shed1, C8orf47, CYFIP2, TIMP1, STAT4, LISCH7, MAL2, FLJ20647, MCC, FLJ39501, FGFR2, MYO1E, LGALS3, ACSL4, KCNT2, TNFSF13B, DCPS, TPST1, zawobo, SLC15A1, RAB27A, HPGD, ACP5, HABP2, SDSL, VNN2, CRP, BASP1, GLS2, SLC2A9, zustoby, INHBE, LUM, heri, RAFTLIN, PLTP, SLC7A2, CDA, ASRGL1, neejee, KCNT2.shed1, ETS2.shed2, PTGDS, mutura, URB, CDH1, barney, GCH1, CHST11, GDA, ARRDC4, COL5A1, HSD17B2, EFEMP1, PELI1.shed1, FOXA3, GLIS3, nerora, EPHA1, DUSP5, THBS2, IL7R, jeyjoybu, LGALS4, NMES1, AEBP1, CNGA1, SERPINB9.shed2, CXCL16, LOXL1, SOCS3, KIAA0746, SLC25A18, GEM, zarly, TBX15, CD2, CCL20, slarbly, smoyva, DSCR1L1, varger, CSDA, LOC145837, MOXD1, MYOM1, CKLFSF3, CP.shed1, CD52, COL1A2, MXRA5, CSPG2, PRG4, GATA6, KLRB1, BGN, PMP22, SERPINE2, PAG1, CD24, SERPINE1, sperla, CCL19, KCTD12, fleyswuby, CYBA, IGKVandIGKJ_, TIMP2, sparla, COL3A1, EGR2, PSCDBP, SLC12A2, ISLR, korori, EGR1, tumare, BACE2, RASGRP1, CTHRC1, CYP2B7P1, AIM2, noyboy, COL1A1, SERPINE1.shed3, PAPLN, SULF1, RGS1, MMD, bawgloy, CXCL12, EVI2A, ZNF83, SEMA6A, F3, SLC16A14, RAB27B.shed1, ASPN, MYL9, TNFSF4, PGLYRP2, FBP1, TNFAIP8, LOC91353, XK, S100P, GPR88, ADAMTS1, CAPG, C7, POU2AF1, FLJ22662, MMP9, GPNMB, SPHK1, CCL21, rohora, IGLV3-25, SLC22A15, mohure, BMP2, GALNT7, MAD1L1, huke, LOC387763.1, SRPX, SELM, COLEC11, LXN, HOMER1, COL6A3, MUC13, jyko, C9, EBI2, GOT1"	200	18701503	2008	Bulk	scTyper sigDB
Chiang.2008.HCC.subtype:Cancer cell:Proliferation_class_up	Chiang.2008.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	Proliferation_class_up	Top 200 for up-regulated proliferation class (among the tumors)	"LOC388610, C10orf3, SPHK1, DEPDC1B, PIGAP1, AURKB, MAPK13, KIF23, MMD, FBXO5, rerkar, LRRC1, choybuby, KIF11, ASRGL1, ZNF532, TTK, SLC1A5, UBE2C, BUB1B, CENPE, MKI67, FLJ10719, CENPF, ARID3A, CDC6, SHCBP1, SYNJ2, CDCA1, IPW.2, CCNE1, ETV4, SGOL2, zf-C2H2.20, LMNB1, toki, 03-Mar, BARD1, LOC120376, KIF4A, PRKCD, HELLS.shed3, SMC4L1, ANLN, TMEM51, DKFZp762E1312, CDCA5, ECT2, KIF2C, AFP, HCAP-G, CCNA2, TRIP13, PSF1, PAFAH1B3, CCNB1, SAS-6, CYBA, BIRC5, FLJ11029, MTMR2, PKM2, CDC20, GPD1L, nosoy, ORC6L, LOC146909, DLG7, PDE9A, ARHGAP18, HMGB2, PNMA1, CCNB2, CSDA, PLP2, CDC7, CKAP4, PTTG1, ZWINT, CHST11, ELF4, FLJ40629, SC65, FOXM1, GLIS2, LOC401905, DBN1, garjer, KNTC2, SOX4, SLC38A1, SALL4, KIF20A, MARCKSL1, fashor, LHFPL2, CDC2, KIF14, maky, FUNDC1, OIP5, IMP-3, WASF1, DDR1, C18orf24.1, TPX2, TNFRSF21, TOP2A, HSUP1, HK2, MAD2L1, B3GNT5, FKSG14, MMP9, NEK2, ASPM, NCK2, MCM2, HDAC2, VEGFB, SLC16A3, CDCA7, mutura, PBK, EZH2, TMEM65, CD24, ATP1A1, S100P, PRC1, totera, tumare, GALNT7, B4GALT5, FLVCR, FEN1, LOC143458, CGI-62, ELOVL7, KIAA0746, EVI1, NUSAP1, CDCA7L, munira, HN1, WSB1.shed1, ACY1L2, jupoy, kihure, PAPLN, HIST1H4C, CKLFSF3, RAD51AP1, UGCG, DEPDC1, SLC39A10, PTP4A3, FLJ12442, G6PD, MGC14289.1, LAMB1, FHOD3, MGC24665, MEP1A, SOX9, SELM, SLAMF8, dydo, TMED3, FLJ22662, LOC91461, MMP12, zarly, H19, STK6, CTBP2, TUBA1, E2F8, SLC7A7, MARCKS, PELI1.shed1, dado, BCAT1, TTF2, DUSP9, CDKN3, FMNL2, AADACL1, kehora, RACGAP1, DCC1, TSC, RFC4, FLJ20647, BACE2, DTL, PAG1, C4orf7, C22orf8, ABCC1"	200	18701503	2008	Bulk	scTyper sigDB
Chiang.2008.HCC.subtype:Cancer cell:Proliferation_class_down	Chiang.2008.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	Proliferation_class_down	Top 200 for dn-regulated proliferation class (among the tumors)	"CES2, CYP8B1, GLYAT, AQP9, DCXR, ABCB4, SLC10A1, kobee, HPD, FLJ20581, DAO, AR, ABCA6, GYS2, TMEM7, HSD11B1, CYP4F11, HNF4A.1, LDHD, FMO3, CYP4F2, PFKFB1, MASP2, ECHDC2, MAT1A, FMO4, APOA5, LOC388503, BAAT, AFM, EHHADH, LOC91614, RPIB9, SCP2, SEC14L2, BHMT2, APOC2andAPOC4, C8A, ADH1A, ACADL, SERPINC1, SRD5A1, DHTKD1, pleejy, LONP, CCL16, GCDH, ALDH6A1, KCNJ8, CTH, SULT2A1, ABCB11, ECM2, F12, PIPOX, HAAO, AZGP1, smufawbo, HSD17B6, ACBD4, MPDZ, ABAT, MTHFD1, HAO1, HAGH, ALDH1L1, AGXT2L1, OTC, BTD, C6, MGC15937, SELENBP1, ETNK2, PCK1, ACYP2, NR1I2, LOC283537, cheylorby, ARGBP2, ETFDH, LRRNT.0, MTP, CPT2, tarzo, LOC440388, BHMT, ADRB2, GAMT, CYP4A11, ST3GAL6, GRHPR, flabee, EPHX1, MYO1B, GPLD1, GPT, LOC440286, CYP27A1, AADAC, LOC134147, PDK4, CDO1.shed4, tAKR, CAT, NAT2, lyta, RGN, CYP3A43, RWDD3.shed2, CA5A, GNE, CYP2C9, ANGPTL3, PNPO, F8, AASS, NUDT6, nehu, TM6SF2andHAPL, CYP2J2, AOX1, TST, KLF9, shorgor, NR1I3, POR, CYP4A22, CUTL2, HFE2, MLYCD, LOC201895, ALAS1, ITIH1, TAT, CYP4F3, TTPA, remeru, SLC2A2, AGXT, AGXT2, RCL1, HADHSC, CYP2B6, fersweeby, CDC14B, KNG1, RBP5, RORC, CCL14, BOK, WNK3, MYRIP, SERPING1, ABCA8, AKR7A3, BLOC1S1, HIBADH, ABCG8, CYP2C8, FAM79B, seyura, RDH16, SULT1B1, ADH4, SLC38A4, PLG.shed1, RHOB, ALDH5A1, GPT2, SELO, LECT2, CIDEB, COL18A1, ADH6, EFCBP2, jarswerby, ALDH3A2, ECHDC3, LOC442096, CLDN14, FLJ21986, FLJ20366, PRAP1, CYP1A2.1, CPB2, UGT1A10, SLC38A3, rawna, MGC35366, florborbo, LOC255167, SYTL4, DHRS1, TFR2, SLC22A1, SLC16A2, SERPINA10, NAGS, OASL, OGDHL"	200	18701503	2008	Bulk	scTyper sigDB
Chiang.2008.HCC.subtype:Cancer cell:Interferon_class_up	Chiang.2008.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	Interferon_class_up	All genes for up-regulated interferon class (among the tumors)	"STAT1, FCGR2B, CALCRL, KLRB1, ALOX5AP, ISG15, KMO, MS4A4A, GPR65, IFI6, SLC38A4, SERPINA7, APOF, PLA2G2A, zawobo, HPGD, ACSL4, KCNT2, TDO2, FCGR3A, SLC12A2, EVI2A, MOXD1, GOT1, HLA-DQA1.1, NNMT, PRAMEF10, IFI27"	28	18701503	2008	Bulk	scTyper sigDB
Chiang.2008.HCC.subtype:Cancer cell:Interferon_class_down	Chiang.2008.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	Interferon_class_down	All genes for dn-regulated interferon class (among the tumors)	"yoha, CDC14B.shed1, HSDL2.shed2, ONECUT2, barzu, blerky, FLJ39653, narroby, dusmaby, karara, kerswerby, baflybu, ZNRF3, ACOX1.shed2, BTNL9.shed2, swabley, TRPM7.shed1, yurero, C20orf155.shed2, Transposase_22.2, yayuro, hutura, LOC284058.shed1, ACPL2, smeesnorby, kehe, polor, zf-BED.0, teesar, sposkuby, GRB10.shed1, SLAC2-B, LOC440994.shed5, ADM, USP54, plybla, LGR5, porza, DAAM1, FLJ32009, KIAA0888, PHYHIPL, SLC16A10, stersmawby, AMACR, GABPB2.1.shed1, RHBG, rotiri, CKB, ZBTB20.2, FLJ22763, NKD1.shed1, Transposase_22.4, bawgler, HLF, SLC16A11, sperpeebo, RASAL2.2, NKD1, ASPSCR1, FLJ14299, WBSCR14, LOC441027, ZNF533, SLC6A8, zuwobu, nakuru, ESM1, roywaw, shoynaw, NR2F1, sheemaw, feedoy, NEK3, PAGE4, SLC5A6, DNM1, DKFZp761P0423, torero, ATP6V0E2L, ODZ2, mitaru, FADS1, IGF2, MOGAT1, zartey, SLC13A3, shobleeby, chawmyby, C6orf97, TRIB2, MME, TNFRSF19, APIN"	94	18701503	2008	Bulk	scTyper sigDB
Chiang.2008.HCC.subtype:Cancer cell:Chr7_polysomy_class_up	Chiang.2008.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	Chr7_polysomy_class_up	All genes for up-regulated chromosome 7 polysomy class (among the tumors)	"COBL, FNDC5, ARMC6, CLDN15, MAD1L1, MGC50844, POLD2, GARNL3, TM6SF2andHAPL, rylar, zorko, smeymoy, ADCY1, EPHA1, lyry, ZNF38, GCGR, GLCCI1, PRKAG2, LAMB3, TRIM35, DKFZP586B1621, noyfu, MFSD2, PEPD, WNK3, MAGEB2, ICA1, LOC388227, FBXO2, LOC255167, ADAMTS17, PRSS8, sanera, C14orf68, FLJ90586, CRYAA, POR, TMEM16A, moyaru, POT1, CLDN3, FLJ14981, CHN2, RHOU, ELAVL1, FCGRT, C22orf1.1, CROT, MOGAT3, CYP2A7, poyker, remeru, PYGL, TLE2, LOC401393, TUBE1, LOC201651, MNS1, parzar, GCK, DHRS1, SLC16A2, LOC388177, LOC440941, HAAO, NALP11, snawsabo, LRRC31, FLJ23834, PILRB, CLDN14, DAO, CYP2A6, MGC4504, PTK6, GPR88, RaLP, PEMT, FOLH1, SYTL4, MAP1LC3A, lorjar, RAPGEF4, SLC22A1, CIDEB, IGFALS, ADSSL1, ABCB4, SLC28A1, zuwarbo, PFKFB1, SRD5A1"	93	18701503	2008	Bulk	scTyper sigDB
Chiang.2008.HCC.subtype:Cancer cell:Chr7_polysomy_class_down	Chiang.2008.HCC.subtype	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	non-Immune	Molecular subtype	Chr7_polysomy_class_down	All genes for up-regulated chromosome 7 polysomy class (among the tumors)	"RCN1, SERPINB1, MOBKL1A, GPX2, PHACTR2, ROBO1, GNL3, BAMBI, PLOD2, zoly, C10orf38, AACS, LASS6, CARD6, SLC38A1, FLJ11259, LOC152831, P2RX5, DDEF1, nawsnoybu, PAG1, LOC401466, dukarbo, STOX2.1, SLC16A7, sleybo, munira, RHOBTB1, AKR1B10, starzarby, HOMER1"	31	18701503	2008	Bulk	scTyper sigDB
Costea.2013.OSCC.CAF:Normal cell:NF	Costea.2013.OSCC.CAF	Human	Oral Squamous Cell Carcinoma (OSCC)	Head and neck	UBERON_0000167	Normal cell	non-Immune	Fibroblast	NF	CAF vs. normal fibroblasts	"FAM162B, TMEM176B, GDF10, FAM19A5, CLIC6, TMEM176A, MAP7, PTGER3, CXCL14, IGFBP2, MMP27, ATRNL1, SLC27A6, MN1, ENTPD1, SLITRK5, GPC3, C8ORF4, GPR133, RRAGD, ROBO2, EGFL6, SPON1, COL6A6, NAP1L2, 10-SEP, THBS4, CORIN, CTSC, APCDD1, ENTPD3, INMT, MCOLN3, PAX3, TRPM3, ITIH5, SEMA4D, ST6GALNAC3, RSPO1, LOC400043, RASSF2, AQP1, RGS7, ISM1, LPAR1, FSTL5, SLC12A7, MYO3B, TSTD1, TNFRSF11B, ALDH1A1, RGS5, PGR, COCH, RAB38, FGF13, ATP8B4, ITGA8, ZNF536, ADRB1, FAM46C, ACTG2, MMP8, KIAA0146, RAI2, LIMCH1, EDNRB, CTSH, CEBPD, ELMO1, ALX1, ABCB4, PRRG3, BMP4, NOV, PTGS2, CXCL1, DLL1, PSG4, CD83, NEDD9, IRX5, PLEKHG1, FBXL16, ST6GALNAC5, ATF3, SNCA, LOC100130468, ANKRD6, KBTBD11, TRPC6, SLC16A14, PGF, NR0B1, SVEP1, MATN2, ASPA, PHACTR3, KCNS2, PCDH10, LOC283904, WIF1, HPGDS, LASS4, C10ORF57, SIPA1L2, C3ORF70, GALNT14, TMEM132D, ZNF595, PID1, CYP7B1, PCSK2, ZBTB24, SAMD4A, NR4A3, DPT, CASP1, HHEX, TRPA1, ABCB1, KIAA1211, MASP1, CILP, WFDC1, SOD3, PLCL1, ITGA9, KDR, CCL11, LY6K, NCKAP5, PENK, TOX, IL8, C20ORF194, NOVA1, CXCL10, DACH1, APOD, CCL8, CLCA2, CD302, CHDH, SHC2, COLEC10, CADM1, MAF, TRIL, RNF157, CXCL3, CXCL2, GOLSYN, TWIST2, RASGRP3, GMFG, GPR27, LOC440895, RBPMS2, TSC22D1, NRCAM, ST8SIA1, AMIGO2, PHACTR1, CYP26B1, RHOJ, DENND2A, ACP5, CXCR7, ARRDC2, FARP2, KIT, HAO2, GGTA1, NR4A2, CDH18, RIPK3, WISP3, C4ORF31, KYNU, CPXM1, TSPAN33, SPRY1, TBX2, PSG1, MMP12, TTC39C, SLC16A6, SAMD5, FAM83H, C1GALT1C1, GPX3, C10ORF47, HSPC159, MALAT1, DCN, EMILIN2, LOC100131004, LOC220729, PDGFD, NAP1L3, MMP10, TNIK, C8ORF79, FRMD4B, RSPO3, FAM169A, PDPN, FAM124A, FLRT3, C6ORF192, C15ORF48, NCAM2, GABRE, PSEN2, IL13RA2, PABPC4L, SEPT3, LRP1B, WTAP, GPRC5B, ENPP5, ZNF853, HEPH, SLC5A3, GLDN, IL17RB, TFAP2C, BCL2, CXCL12, LOC729506, CH25H, C21ORF121, GJC1, MAP3K5, DAAM2, STK32B, ABCC6P1, IL1RN, POR, FST, TMTC2, USP53, ACVRL1, LOC374491"	245	23598279	2013	Bulk	scTyper sigDB
Costea.2013.OSCC.CAF:Cancer cell:CAF	Costea.2013.OSCC.CAF	Human	Oral Squamous Cell Carcinoma (OSCC)	Head and neck	UBERON_0000167	Cancer cell	non-Immune	CAF	CAF	CAF vs. normal fibroblasts	"MFAP5, COL15A1, CHI3L1, CADPS, SRGN, IGFBP3, EDIL3, PSPHL, RAB27B, WISP2, EVI2A, RXFP1, COL11A1, ASPN, TAGLN, TMEM132B, SLC6A15, KCND2, MAB21L2, PPAPDC1A, NPTX2, THBD, FN1, SULF1, CSTA, KRTAP1-5, C11ORF41, SERPINB7, BEX1, ODZ3, PMEPA1, SCG2, KCNE4, ENPEP, TIAM1, GPC6, SORBS2, TACSTD2, DSP, STMN2, PKIA, BCAT1, TES, VAT1L, HMCN1, CRISPLD1, KBTBD10, RNF182, SHISA2, LOC554202, ASB5, C5ORF13, SERPINI1, SLC14A1, SFRP4, PTPRB, BGN, FLI1, C13ORF33, MEGF10, MTSS1, FZD8, EVI2B, SCG5, DCBLD2, TIMP3, PEAR1, CDH13, BCL2A1, MGP, ITGBL1, SLC1A1, APCDD1L, ITGA6, BHLHE41, ITGA11, COL10A1, VSNL1, PRR5L, ODZ4, MET, CA12, CPXM2, TGM2, PLOD2, GATA6, GLIPR1, HAS2, FRMD3, TM4SF1, PEG10, FRMD5, NTNG1, RIN2, BMPR1B, ADAMTSL1, SYTL5, ELTD1, CACNA1A, ADAM12, PCSK1, TXNIP, ENDOD1, FMO1, OMD, TPM1, DSG2, COL5A3, NOTCH3, LRRFIP1, FAM196B, FZD1, C21ORF96, ABI3BP, PCDH7, ACTC1, RECQL, PGM2L1, CPE, CTHRC1, ITGA10, SERPINE1, BAALC, VEPH1, EREG, FAM87B, TPD52L1, IGFBP5, PDE7B, TMCC3, EBF2, NR5A2, FLJ44635, IGFBP6, CXXC5, GALNT12, CPEB2, SPEN, INHBA, CNTNAP2, SYNJ2, F2RL1, AHNAK2, SLC7A2, THAP2, C5ORF24, PPAP2C, MICAL2, DNAJB4, LRRC32, OLFML2A, C21ORF7, MAP1B, A2M, PTPRR, TMEM154, SRD5A1, ALCAM, RAB31, GDF5, IL24, IL33, ANKRD37, EBF1, CITED2, FOXL2, WASF2, PDLIM3, LGALS1, GABBR2, KAL1, FNDC1, C2ORF67, DNER, CLIC3, SDC2, LXN, ST3GAL5, KCNMB4, C1ORF54, ZNF883, CFI, HEY1, DAAM1, BACH2, PITX1, AK3L1, CCDC68, XIST, CAMK2D, CYP1B1, FLJ45482, HK2P1, SOAT1, NDRG1, KRTAP1-3, RGS17, AGPAT9, CNN1, PLCXD3, FBXO32, SLC1A4, C10ORF112, CDK15, PPP1CB, GNG2, HTR2B, PLCD4, ERRFI1, C5ORF54, RAP1GAP2, CRIP1, SLC38A5, PEX1, SERPINB6, G0S2, SOX4, IFI44L, SIX2, RPS4Y1, GPR68, KRTAP2-1, CLSTN2, PRUNE2, CDO1, GAS6, HSPB6, CSGALNACT1, PDLIM5, CHRNA1"	230	23598279	2013	Bulk	scTyper sigDB
Costea.2013.OSCC.CAF:Cancer cell:CAF_D	Costea.2013.OSCC.CAF	Human	Oral Squamous Cell Carcinoma (OSCC)	Head and neck	UBERON_0000167	Cancer cell	non-Immune	CAF subtype	CAF_D	CAF of divergent expression pattern (CAF-D) vs. closer to normal fibroblasts (CAF-N)	"SERPINB6, SLC14A1, PSPHL, ID4, CHL1, DNER, IRX5, PAX3, TM4SF1, SORBS2, IL24, ALX1, SLC16A6, NR4A2, MCTP2, RPS4Y1, DDX3Y, EIF1AY, LOC387895, PCSK1, MMP10, IL11, ASB5, PTGS2, LOC283070, PLAT, CADM1, TMEM100, NDP, COX6A1, PTHLH, MASP1, AG2, PCDH10, PGM2L1, FGF7, KYNU, RASD1, NRP2, FZD8, COL10A1, SERPINI1, EPHA5, PAQR5, CTTNBP2, BDKRB1, LRRN3, PPAPDC1A, CRISPLD1, ERMN, SNAP25, SFRP4, PRSS35, SRGN, CALB2, ITGA10, CBLN2, EDIL3, KGFLP2, LIF, CYORF15A, EDNRB, C2CD4A, HSD11B1, CDH6, TIMP3, CXCR7, NLGN4Y, USP9Y, IL1RN, CYORF15B, ZNF804A, SEMA6D, DOK6, LOC100134357, ID3, EYA4, CNTNAP2, SCARA5, ADRA2A, WNT16, OAS1, CLK1, DDIT4, PMEPA1, TLR2, MTHFD2L, AGPAT9, GPR84, PSG8, NPIPL2, SLC7A2, RNF141, C1ORF101, RUNDC3B, BMP6, BTBD11, HSD17B6, GPC3, ZNF385D, LNX1, SLC7A5, CHRNA9, SFRP1, ACTG2, CMPK2, C9ORF150, PTGIS"	108	23598279	2013	Bulk	scTyper sigDB
